Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Age,Gender,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Cost,Price,Profit,Quantity,Sales,Total Profit,Month,Year,Quarter,AgeGroup
46,CA-2017-118255,11-Mar-17,13-Mar-17,First Class,ON-18715,Odella Nelson,54,Female,Corporate,United States,Eagan,Minnesota,55122,Central,OFF-BI-10003291,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,282.07,283.29,1.22,25,7082.237861,30.5,March,2017,Q1,46-55
54,CA-2017-105816,11-Dec-17,17-Dec-17,Standard Class,JM-15265,Janet Molinari,33,Female,Corporate,United States,New York City,New York,10024,East,OFF-FA-10000304,Office Supplies,Fasteners,Advantus Push Pins,750.98,34.62,-716.35,1,34.6230988,-716.35,December,2017,Q4,26-35
55,CA-2017-105816,11-Dec-17,17-Dec-17,Standard Class,JM-15265,Janet Molinari,26,Female,Corporate,United States,New York City,New York,10024,East,TEC-PH-10002447,Technology,Phones,AT&T CL83451 4-Handset Telephone,963.45,995.71,32.25,16,15931.28358,516,December,2017,Q4,26-35
67,US-2016-164175,30-Apr-16,05-May-16,Standard Class,PS-18970,Paul Stevenson,41,Male,Home Office,United States,Chicago,Illinois,60610,Central,FUR-CH-10001146,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",350.54,390.39,39.85,25,9759.694933,996.25,April,2016,Q2,36-45
68,CA-2015-106376,05-Dec-15,10-Dec-15,Standard Class,BS-11590,Brendan Sweed,20,Male,Corporate,United States,Gilbert,Arizona,85234,West,OFF-AR-10002671,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",306.17,465.09,158.92,9,4185.804457,1430.28,December,2015,Q4,18-25
69,CA-2015-106376,05-Dec-15,10-Dec-15,Standard Class,BS-11590,Brendan Sweed,36,Male,Corporate,United States,Gilbert,Arizona,85234,West,TEC-PH-10002726,Technology,Phones,netTALK DUO VoIP Telephone Service,674.71,262.71,-412,8,2101.681808,-3296,December,2015,Q4,36-45
76,US-2018-118038,09-Dec-18,11-Dec-18,First Class,KB-16600,Ken Brennan,24,Male,Corporate,United States,Houston,Texas,77041,Central,OFF-BI-10004182,Office Supplies,Binders,Economy Binders,283.6,295.23,11.63,19,5609.300622,220.97,December,2018,Q4,18-25
77,US-2018-118038,09-Dec-18,11-Dec-18,First Class,KB-16600,Ken Brennan,56,Male,Corporate,United States,Houston,Texas,77041,Central,FUR-FU-10000260,Furniture,Furnishings,"6"" Cubicle Wall Clock, Black",315.81,194.95,-120.86,2,389.9023347,-241.72,December,2018,Q4,55+
78,US-2018-118038,09-Dec-18,11-Dec-18,First Class,KB-16600,Ken Brennan,57,Male,Corporate,United States,Houston,Texas,77041,Central,OFF-ST-10000615,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",791.14,943.26,152.13,18,16978.71025,2738.34,December,2018,Q4,55+
80,CA-2017-127208,12-Jun-17,15-Jun-17,First Class,SC-20770,Stewart Carmichael,22,Male,Corporate,United States,Decatur,Alabama,35601,South,OFF-AP-10002118,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",388.19,319.17,-69.02,25,7979.172993,-1725.5,June,2017,Q2,18-25
81,CA-2017-127208,12-Jun-17,15-Jun-17,First Class,SC-20770,Stewart Carmichael,35,Male,Corporate,United States,Decatur,Alabama,35601,South,OFF-BI-10002309,Office Supplies,Binders,Avery Heavy-Duty EZD  Binder With Locking Rings,162.76,19.91,-142.84,5,99.56473465,-714.2,June,2017,Q2,26-35
84,CA-2016-149734,03-Sep-16,08-Sep-16,Standard Class,JC-16105,Julie Creighton,31,Female,Corporate,United States,Durham,North Carolina,27707,South,OFF-EN-10000927,Office Supplies,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,69.29,774.73,705.44,23,17818.8067,16225.12,September,2016,Q3,26-35
85,US-2018-119662,13-Nov-18,16-Nov-18,First Class,CS-12400,Christopher Schild,52,Male,Home Office,United States,Chicago,Illinois,60623,Central,OFF-ST-10003656,Office Supplies,Storage,Safco Industrial Wire Shelving,90.07,228.64,138.57,19,4344.141622,2632.83,November,2018,Q4,46-55
89,CA-2017-159695,05-Apr-17,10-Apr-17,Second Class,GM-14455,Gary Mitchum,45,Male,Home Office,United States,Houston,Texas,77095,Central,OFF-ST-10003442,Office Supplies,Storage,Eldon Portable Mobile Manager,530.43,289.41,-241.03,6,1736.440323,-1446.18,April,2017,Q2,36-45
90,CA-2017-109806,17-Sep-17,22-Sep-17,Standard Class,JS-15685,Jim Sink,38,Male,Corporate,United States,Los Angeles,California,90036,West,OFF-AR-10004930,Office Supplies,Art,Turquoise Lead Holder with Pocket Clip,793.09,481.74,-311.35,1,481.7389331,-311.35,September,2017,Q3,36-45
91,CA-2017-109806,17-Sep-17,22-Sep-17,Standard Class,JS-15685,Jim Sink,39,Male,Corporate,United States,Los Angeles,California,90036,West,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,834.6,877.05,42.45,21,18418.14801,891.45,September,2017,Q3,36-45
92,CA-2017-109806,17-Sep-17,22-Sep-17,Standard Class,JS-15685,Jim Sink,33,Male,Corporate,United States,Los Angeles,California,90036,West,OFF-PA-10000304,Office Supplies,Paper,Xerox 1995,291.51,835.85,544.33,13,10865.99301,7076.29,September,2017,Q3,26-35
96,US-2018-109484,06-Nov-18,12-Nov-18,Standard Class,RB-19705,Roger Barcio,43,Male,Home Office,United States,Portland,Oregon,97206,West,OFF-BI-10004738,Office Supplies,Binders,Flexible Leather- Look Classic Collection Ring Binder,530.48,245.18,-285.3,24,5884.295083,-6847.2,November,2018,Q4,36-45
97,CA-2018-161018,09-Nov-18,11-Nov-18,Second Class,PN-18775,Parhena Norris,25,Female,Home Office,United States,New York City,New York,10009,East,FUR-FU-10000629,Furniture,Furnishings,9-3/4 Diameter Round Wall Clock,697.51,913.74,216.24,2,1827.489496,432.48,November,2018,Q4,18-25
99,CA-2017-149223,06-Sep-17,11-Sep-17,Standard Class,ER-13855,Elpida Rittenbach,47,Female,Corporate,United States,Saint Paul,Minnesota,55106,Central,OFF-AP-10000358,Office Supplies,Appliances,Fellowes Basic Home/Office Series Surge Protectors,843.03,842.39,-0.64,10,8423.867072,-6.4,September,2017,Q3,46-55
100,CA-2017-158568,29-Aug-17,02-Sep-17,Standard Class,RB-19465,Rick Bensley,48,Male,Home Office,United States,Chicago,Illinois,60610,Central,OFF-PA-10003256,Office Supplies,Paper,Avery Personal Creations Heavyweight Cards,98.43,940.72,842.29,23,21636.62332,19372.67,August,2017,Q3,46-55
101,CA-2017-158568,29-Aug-17,02-Sep-17,Standard Class,RB-19465,Rick Bensley,52,Male,Home Office,United States,Chicago,Illinois,60610,Central,TEC-AC-10001767,Technology,Accessories,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,633.96,219.22,-414.75,8,1753.754837,-3318,August,2017,Q3,46-55
102,CA-2017-158568,29-Aug-17,02-Sep-17,Standard Class,RB-19465,Rick Bensley,35,Male,Home Office,United States,Chicago,Illinois,60610,Central,OFF-BI-10002609,Office Supplies,Binders,Avery Hidden Tab Dividers for Binding Systems,841.08,718.02,-123.06,18,12924.35781,-2215.08,August,2017,Q3,26-35
